rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
Twin/Double room - De Luxe - Creek View Twin/Double room - De Luxe - Creek View,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa POOL VILLA BEACHSIDE,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium One King bed Premium Room with Marina View and Balcony, 1 King Bed Marina",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Deluxe twin room - de luxe - tropical,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
1 King Bed Standard Sofa Bed,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite - Skyline view Suite - Skyline view,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1-room standard double or twin apartment,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Club Suite, 1 King Bed (Club Lounge Access)",room,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Apartment 2 bedrooms - Sea View Apartment 2 bedrooms - Sea View sea,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,sea view,undefined
Double or twin arch room (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa - Sky - Private Pool Villa - Sky - Private Pool pool,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1-room studio apartment Underground double,studio,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Top Floor Apartment,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
standard with 2 separate beds Twin beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room (2 Twin Sofa Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Economy Economy Room,room,economy,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Place with Balcony (1 King Bed and 1 Double Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Executive Double or Twin Room, Sea View (2 Twin Beds) - Package Rate",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Signature Palm Suite Resort View Half Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Suite Kaaba View,suite,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
TWIN CAPACITY 1,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa Temoyong (1 King Bed),room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard BEDOUIN KING ROOM,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Suite, 1 King Bed, Accessible, Corner (Roll-In Shower) (1 King Bed)",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
king junior suite sea view Breakfast,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Family Room with sea view, balcony, access to luxury spa, Kids & Teens Club, private cinema",room,deluxe,private bathroom,undefined,undefined,undefined,club,with balcony,undefined,undefined
Studio - Suite Studio - Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Ultra Resort Room, 2 Queen Beds, Non Smoking",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
One Bedroom Apartment 1 Bedroom Apartment.,apartment,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Wellness Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite 2 bedrooms - Grand - Jacuzzi - Ocean view Suite 2 bedrooms - Grand - Jacuzzi - Ocean view ocean,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Deluxe Guest Room Marina View Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Club CLUB OCEANFRONT DOUBLE,room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
Single Superior Sky with balcony,room,superior,private bathroom,single bed,single,undefined,not club,with balcony,undefined,undefined
1 King Bed Standard Mobility Accessible Bathtub 1 King Bed Standard Mobility Accessible Bathtub,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe King Deluxe Room with Pool View & Yas Theme Park Access Pool,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
sharedBed in 4-bed dormitory   in block,dorm,undefined,shared bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Double,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard double or twin room (room for disabled guests) double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin room - Classic - Accessible Twin room - Classic - Accessible,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Twin Room, Non Smoking",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Presidential Suite, 1 Bedroom (1 King Bed)",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Pool Access Fantasy(1 King Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Two Bedroom Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, 1 Double Bed with Sofa bed (1 Double Bed and 1 Double Sofa Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Pearl Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite 2 bedrooms - Family - Garden Suite 2 bedrooms - Family - Garden garden,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
"Villa, 1 King Bed, Pool View, Beachside (1 King Bed)",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Lincoln House,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Two-Bedroom Royal Villa by Jim Thompson,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Centro Room – Queen Bed,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard apartment with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
DELUXE/STANDARD WALK VIEW Full Board,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Family Suite with Balcony, Resort View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Standard Twin room - Urban - City View City,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite MARJAN SUITE,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Essential Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Room Eiffel Tower View - Atelier,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Executive Suite, Sea View (Posh Club)",suite,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Deluxe deluxe room city view City,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Double Room, Bathtub, Corner (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Executive Family Suite, Partial Sea View (1 King Bed and 2 Large Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite One Bedroom Suite with Lounge Access,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Twin/Double room - Grand,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Luxury Room, 3 Twin Beds (3 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed, Ocean View (1 King Bed)",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Convenient Central Garden Access Deluxe Convenient Central Garden Access Non-Refundable (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
1-room studio apartment twin (Annex Building),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Deluxe Room King,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Quadruple Room, 1 Bedroom, City View (2 Queen Beds)",room,standard,private bathroom,double/double-or-twin,quadruple,1 bedroom,not club,no balcony,undefined,undefined
Apartment 1 bedroom Half Board,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Standard room double (Executive Floor),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Apartments Non refundable rate without breakfast (Only for RF citizens),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Park Lane King,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Deluxe,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family suite 2 bedrooms Family suite 2 bedrooms,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Suite Marmara Suite-,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Premium Premium Deluxe King,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Twin Room with 20% discount on FandB Room Only,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family FAMILY ROOM DELUXE SEA VIEW Sea,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Signature Suite, 1 King Bed, Jetted Tub, Sea View",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Suite Non smoking non-smoking,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite - De Luxe - Sea View Suite - De Luxe - Sea View sea,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Standard standard double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Room (1 Double Bed and 1 Double Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room, 1 King Bed, Accessible (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Room - Sea View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Garden-view Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior SUPERIOR SEA VIEW ROOM Sea,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Junior Suite Grande,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"2 Single Beds, Non-Smoking, Standard Room, Work Desk",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
comfort for 4 people,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
dormBed in 12-bed dormitory   in block,dorm,undefined,shared bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard room Violet twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Skyline View Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Royal Suite (1 Double Bed and 1 Double Sofa Bed),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Suite Connecting Rooms,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Seaview Deluxe Terrace Twin/Double room - De Luxe - Sea View - Terrace (1 Double or 2 Single),room,deluxe,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
"Double Room, Sea View (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Triple Room,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Standard room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Communicating Rooms (1 Double Bed and 3 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Superior 2 Single Beds,Room Only",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Superior Studio (1 Queen Bed),room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Double Room with Balcony Classic Double Room with Balcony Non-Refundable (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Suite - Duplex - Terrace - Sea View Suite - Duplex - Terrace - Sea View sea,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,duplex floor
One Bedroom Suite - King Room Only,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Exclusive Suite Room,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard superior room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
LUXURY FRONT SEA VIEW ROOM Full Board,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Studio Studio, Kitchenette, 1 King Bed",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single Room (1 Twin Bed),room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Classic Queen Room Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Suite (1 King Bed),suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Studio Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Private 4-Bed Room Shared Bathroom (Shared bathroom),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Panoramic Suite with Terrace Suite, Terrace (Panoramic) (1 Double)",suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room (1 Queen Bed),room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Loft Great View,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Townhouse Grand,room,grand,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Garden View Room with Balcony - Twin Beds Garden,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Standard Double or Twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Comfort superior room  (Main Building),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Ocean View King,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Single Beds Standard Smoking Breakfast,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
ONE BEDROOM BEACH POOL VILLA,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Duplex Room with Pool View duplex pool view (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,duplex floor
deluxe creek view room twin Half Board,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2-room studio quadruple apartment with 1 double bed double,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Standard Twin Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Three-Bedroom Family Residence,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
6-person,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Great View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Accessible Room Accessible Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
SUITE DELUXE,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite ONE BEDROOM SUITE BURJ KHALIFA/FOUNTAIN VIEW Fountain,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single room - De Luxe - Bosphorus view Single room - De Luxe - Bosphorus view,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Standard room double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Double Room, Non Smoking - 20% Discount on F&B",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Large Twin Room Twin Large Room (1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Ocean View Pool Villa King,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
Junior Suite Junior Family Suite with Sea View Sea,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1-room studio apartment double,studio,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room (2 Queen Beds),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior room with bay view double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Deluxe (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2 TWIN CLUB ACCESS WITH BALCONY 2 TWIN CLUB ACCESS WITH BALCONY,room,standard,private bathroom,double/double-or-twin,double,undefined,club,with balcony,undefined,undefined
Corner King Sea View(FIT Wholesale Rate - 2),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple room - Superior Triple room - Superior,room,superior,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Grand Suite king grand canal suite,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Superior Double,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Executive Suite Executive Suite-,suite,executive,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard ALOFT SEA VIEW KING ROOM DOUBLE Sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Room, 1 King Bed, Accessible (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Twin Room,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 2 Queen Beds, Sea View (2 Double)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium Room with Partial Sea View and Balcony Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Superior Room Double(1 Amount) Open-Close(1 Amount) Sofa Bed / Sofa(1 Amount),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - King Twin/Double room - King,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Executive Sea View Suite with Balcony Executive Sea View Suite with Balcony,suite,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Club CLUB ROOM,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Standard room Japan double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Royal Double Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room Double Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Twin room - De Luxe - Hollywood Hollywood,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite (De La Ville) (1 King Bed),suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Studio Apartment,studio,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite ONE BEDROOM SUITE POOL ACCESS Pool,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Double Room non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Garden Room Accessible ADA,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa Plunge Pool Villa,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Sea View Room/King Bed/42sqm/AC Bathtub/LCD TV/Internet/Minibar Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Fairmont Gold, Suite, Multiple Beds, Non Smoking (1 King Bed and 2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Private 8 bed Room - Ensuite (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2 Twin Classic Oceanfront : Bed and Breakfast for 2,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
EMIRI SUITE Half Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Suite SUITE STANDARD,suite,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Apartment, 1 Bedroom (Privilege) (2 Twin Beds and 1 Double Sofa Bed)",room,standard,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
"One Bedroom Beach Suite One Bedroom Suite with Partial Marina View and Soluna Beach Club Acces, 1 King Bed Marina",suite,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Kremlin Suite double,suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room With City View,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Twin Beds 2 Twin Beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"King room, 1 king bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
One Bedroom Resort Suite One bedroom Resort view suite with terrace or balcony,suite,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"standard room, 1 double bed - Room Only",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,2 bedroom,not club,with balcony,undefined,undefined
Twin room - Superior - Side Sea View Twin room - Superior - Side Sea View sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,sea view,undefined
Royal ROYAL BANYAN OCEAN POOL VILLA,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple Standard,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Double Room (Extra bed) (1 Twin Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Superior Studio, 1 Double Bed, Balcony (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Queen 1 Queen Bed, Non-Smoking",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2-room apartment standard with 2 single and 2 double beds double,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
Club CLUB ROOM CITY VIEW City,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
